model,timeframe,dtype,coef,ci_lower,ci_upper,se
barrett_1975,1975-2000,model_forcing,0.3956551065552221,0.395655106555222,0.39565510655522224,5.664403186863044e-17
broecker_1975,1970-2010,model_time,0.0183275261324043,0.003873694635388567,0.03278135762942003,0.007374403825008026
broecker_1975,1970-2010,model_forcing,0.6577525132462099,0.6104126910519398,0.7050923354404799,0.024152970507280623
schneider_1975_lower,1975-2024,model_time,0.027370228091236334,0.02710541153876142,0.02763504464371125,0.00013511048595658882
schneider_1975_lower,1975-2024,model_forcing,0.5378082148899731,0.5371591531739873,0.5384572766059589,0.00033115393672743725
schneider_1975_median,1975-2024,model_time,0.03428547418967566,0.03397349852511616,0.034597449854235164,0.00015917125742831822
schneider_1975_median,1975-2024,model_forcing,0.6736460603271933,0.6735264609280037,0.6737656597263829,6.102010162734493e-05
schneider_1975_upper,1975-2024,model_time,0.04120072028811499,0.040841585511470914,0.04155985506475907,0.00018323202890004053
schneider_1975_upper,1975-2024,model_forcing,0.8094839057644134,0.8082175757210861,0.8107502358077407,0.0006460867567996551
usgarp_1975,1975-2000,model_time,0.020389208764214378,0.015504574415964131,0.025273843112464625,0.00249216038176033
usgarp_1975,1975-2000,model_forcing,0.6013478931164785,0.6013478931164784,0.6013478931164786,5.664403186863044e-17
watts_1975,1975-2000,model_time,0.06319999999999817,0.06319999999999401,0.06320000000000234,2.1241511950736415e-15
watts_1975,1975-2000,model_forcing,0.5082821240861433,0.5082685660804666,0.50829568209182,6.917349835054058e-06
budyko_1977,1975-2000,model_time,0.025599999999999262,0.025599999999997902,0.025600000000000622,6.938893903907228e-16
budyko_1977,1975-2000,model_forcing,0.5871559633027528,0.5871502157182044,0.5871617108873012,2.9324410961275853e-06
nordhaus_1977,1974-2024,model_time,0.023889592760180968,0.02165411462966866,0.026125070890693276,0.0011405500665879124
nordhaus_1977,1974-2024,model_forcing,0.5602762352382047,0.5226391681480441,0.5979133023283653,0.019202585250081925
rotty_1977_lower,1975-2024,model_time,0.023454545454545353,0.023454440447693976,0.02345465046139673,5.3574924172116497e-08
rotty_1977_lower,1975-2024,model_forcing,0.4033231382840873,0.4033137085397535,0.40333256802842105,4.8110940478400675e-06
rotty_1977_median,1975-2024,model_time,0.03054545454545441,0.03054545454545414,0.03054545454545468,1.380698276797867e-16
rotty_1977_median,1975-2024,model_forcing,0.5252580405560208,0.5252580405560207,0.5252580405560209,5.664403186863044e-17
rotty_1977_upper,1975-2024,model_time,0.037636363636363475,0.03763636363636275,0.037636363636364197,3.6818620714609783e-16
rotty_1977_upper,1975-2024,model_forcing,0.6471929428279541,0.647192942827954,0.6471929428279543,5.664403186863044e-17
kellogg_1978_lower,1978-2024,model_time,0.026595744680850818,0.02481774423115958,0.028373745130542055,0.000907143086577162
kellogg_1978_lower,1978-2024,model_forcing,0.6494544172838371,0.2983524524678031,1.0005563820998713,0.17913365551838473
kellogg_1978_median,1978-2024,model_time,0.045212765957446464,0.027883857506075044,0.06254167440881789,0.008841279822128277
kellogg_1978_median,1978-2024,model_forcing,1.1191920664895436,1.0290410718792615,1.2093430610998257,0.04599540541340923
kellogg_1978_upper,1978-2024,model_time,0.06382978723404212,0.0304757172799592,0.09718385718812503,0.017017382629634138
kellogg_1978_upper,1978-2024,model_forcing,1.5889297156952504,1.0990656601738373,2.0787937712166635,0.24993064057214953
rotty_1978_lower,1860-2024,model_time,0.004566553078639195,0.004127023380047277,0.005006082777231113,0.0002242498462203663
rotty_1978_lower,1860-2024,model_forcing,0.4043223456853212,0.40431740252196047,0.40432728884868196,2.522022122831045e-06
rotty_1978_median,1860-2024,model_time,0.006852238137515028,0.00619271177016587,0.007511764504864186,0.0003364930445658968
rotty_1978_median,1860-2024,model_forcing,0.6066967687103044,0.6066967687103044,0.6066967687103044,0.0
rotty_1978_upper,1860-2024,model_time,0.009137923196390861,0.008258400160284464,0.010017446232497259,0.0004487362429114273
rotty_1978_upper,1860-2024,model_forcing,0.8090711917352876,0.8090711917352876,0.8090711917352876,0.0
hoyt_1979_lower,1970-2000,model_time,0.010011755811609535,0.009879763471825065,0.010143748151394006,6.73430305022809e-05
hoyt_1979_lower,1970-2000,model_forcing,0.6261182606719109,0.6261182606719108,0.626118260671911,5.664403186863044e-17
hoyt_1979_median,1970-2000,model_time,0.011683233376760598,0.011542598358017605,0.011823868395503591,7.175256058315986e-05
hoyt_1979_median,1970-2000,model_forcing,0.5863571635876855,0.5863250551142353,0.5863892720611358,1.6381874209313336e-05
hoyt_1979_upper,1970-2000,model_time,0.01335471094191166,0.013205424447014733,0.013503997436808588,7.616657902904463e-05
hoyt_1979_upper,1970-2000,model_forcing,0.5597063634465188,0.5597063634465187,0.5597063634465189,5.664403186863044e-17
niehaus_1979,1979-2024,model_time,0.02703530743422754,0.02360784930092204,0.03046276556753304,0.0017487031292375
niehaus_1979,1979-2024,model_forcing,0.5739559779297478,0.4628386711837168,0.6850732846757789,0.056692503441852574
hoffert_1980_lower,1980-2000,model_time,0.011465175699998865,0.011191084261016962,0.011739267138980769,0.00013984257090913444
hoffert_1980_lower,1980-2000,model_forcing,0.38772172816240436,0.3801229647835332,0.3953204915412755,0.0038769200912607987
hoffert_1980_average,1980-2000,model_time,0.012654857600000288,0.012347523903029355,0.01296219129697122,0.00015680290661782258
hoffert_1980_average,1980-2000,model_forcing,0.42797526717286605,0.42513815018174833,0.43081238416398376,0.0014475086689376103
hoffert_1980_upper,1980-2000,model_time,0.01480232210000194,0.014436778815039136,0.015167865384964745,0.00018650167600143088
hoffert_1980_upper,1980-2000,model_forcing,0.5006278053742603,0.4913451002326916,0.509910510515829,0.004736074051820767
cess_1981_lower,1981-2024,model_time,0.024260921095771763,0.023100977989417435,0.02542086420212609,0.0005918077073236368
